United States. Department of Justice,1
Oelrichs and Co.,1
Shipbuilding and Shipping Record,6
"Thomas Cook & Son, Ltd.",5
"Smith, David",1
"Newton, Derek",1
Canada. Legislature. Legislative Assembly,159
Allan Line Royal Mail Steamers,13
James Boring Co.,1
British Columbia (Colony). Governor,2
Canada. Royal Commissions,2
"Shackleton, Kathleen",3
Carnival Cruise Lines,2
Sam Wo Hing & Co.,1
"Lim, Bang",1
"Isherwood, J.H.",1
"Meirat, Jean",1
Hotel Negresco,1
Yee Woo Restaurant,1
Hongkong & Shanghai Hotels Ltd.,1
Richard Beard Gallery,1
Richard Beard Marine Paintings,1
"Patten, C.R.",1
"Hosken, Alexander James",2
"Shaw, R.H.",1
Britain. Board of Trade,1
Canada. Department of Marine,1
"Treviso, Louis",1
Travel Guild Incoprorated,4
"Richardson, Florence Elizabeth",27
"Dring, H.G.",1
British Empire Service League. Canadian Legion,3
"Brown, Charles",1
"McGregor, Helen",1
Temple Tours,1
Marine Food Service Equipment and Furnishings,1
"Morris, Elizabeth Keith",1
United States of America. Treasury Department. Office of the Secretary,1
Canadian Overseas Tours,1
"Richardson, C.",1
Canada. Immigration Service,1
National Turkish Tourist Agency,1
Baxter-Davis Advertising Company,1
"Brower, Dorothy E.",1
Tacoma News Tribune,1
"Smith, Franklin",1
"Richardson, Mary Caroline",20
Whitehorse Inn,2
"Johnson, C. Nesbit",1
World Federation of Education Associations,1
Union Steam Ship Company of New Zealand Limited,41
"MacDonell, Andrew",4
Toronto Star,1
Australian National Travel Association,1
Japan Tourist Bureau,1
N.Y.K. Line,1
White Pass & Yukon Route (firm),2
Dollar Steamship Line,1
American Mail Line,1
Hotel Governor Clinton,1
Roxborough Kootenay Hotel,1
Golden North Hotel,1
Dedman's Photo Shop,1
Canada. British Columbia. Department of Lands,1
"Timms, George F.",1
"Hunter, George",1
"Worrel, Francis V.",1
Vancouver Lacrosse Club,1
"LaFleur, Flossie Adelia Studley",1
Sugar News Company,1
Christian Bell Porcelain,1
England. Board of Trade,1
Supreme Moslem Council,1
VIA Rail Canada,1
Canadian Pacific Railway Company. Canadian Pacific Hotels. Hotel Vancouver,1
"Armstrong, M.",1
Elsie,1
"Evatt, G.J.H.",1
"Gascogne, Margaret",1
"Mackinnon, D.P.",1
Canadian Australasian Line,23
Motor Ship,1
"Soo, John",1
"Shaw, Robert Henry",1
"James, William A.",1
"Fredrick, F.",1
"Thornton, M.E.",1
"Thom, Henry",1
Government of Canada. Department of Immigration and Colonization.,1
Rand & Lipsett,1
"Schreiber, Collingwoods",1
Burt,5
"Clark, Annabella",1
Government of British Columbia,7
"Rogers, Albert Bowman",1
"Mackenzie, A.D.",1
"Walbran, John T.",1
British Columbia Cattle Company,1
United Church of Canada,1
Canadian Labor Party,1
